Indicateurs: Clé;Indicateurs: Description;Indicateurs: Unité;Indicateurs: Source;Indicateurs: Date de mise à jour;Indicateurs: Commentaire;Indicateurs: Méthodologie;Indicateurs: Nom complet;Date;Fréquence;Milieu: Clé;Milieu: Code;Milieu: Nom;Sexe: Clé;Sexe: Code;Sexe: Nom;Régions: Clé;Régions: ISO;Régions: Nom;Faits: Valeur
28013339;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des émigrants sortant de la Tunisie entre 2009 et 2014;2014-01-01 00:00:00;Annuel;28013279;3;Rural;28013309;3;Féminin;15;TN-21;Gouvernorat de Nabeul;164
28013339;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des émigrants sortant de la Tunisie entre 2009 et 2014;2014-01-01 00:00:00;Annuel;28013269;2;Communal;28013299;2;Masculin;13;TN-13;Gouvernorat de Ben Arous;2549
28013339;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des émigrants sortant de la Tunisie entre 2009 et 2014;2014-01-01 00:00:00;Annuel;28013269;2;Communal;28013309;3;Féminin;13;TN-13;Gouvernorat de Ben Arous;979
28013339;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des émigrants sortant de la Tunisie entre 2009 et 2014;2014-01-01 00:00:00;Annuel;28013279;3;Rural;28013299;2;Masculin;13;TN-13;Gouvernorat de Ben Arous;109
28013339;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des émigrants sortant de la Tunisie entre 2009 et 2014;2014-01-01 00:00:00;Annuel;28013279;3;Rural;28013309;3;Féminin;13;TN-13;Gouvernorat de Ben Arous;38
28013339;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des émigrants sortant de la Tunisie entre 2009 et 2014;2014-01-01 00:00:00;Annuel;28013269;2;Communal;28013299;2;Masculin;14;TN-14;Gouvernorat de Manouba;998
28013339;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des émigrants sortant de la Tunisie entre 2009 et 2014;2014-01-01 00:00:00;Annuel;28013269;2;Communal;28013309;3;Féminin;14;TN-14;Gouvernorat de Manouba;311
28013419;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des emigrants venant ou quittant la Tunisie pour d'autres raisons;2014-01-01 00:00:00;Annuel;28013269;2;Communal;28013299;2;Masculin;11;TN-11;Gouvernorat de Tunis;68
28013419;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des emigrants venant ou quittant la Tunisie pour d'autres raisons;2014-01-01 00:00:00;Annuel;28013269;2;Communal;28013309;3;Féminin;11;TN-11;Gouvernorat de Tunis;45
28013419;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des emigrants venant ou quittant la Tunisie pour d'autres raisons;2014-01-01 00:00:00;Annuel;28013269;2;Communal;28013299;2;Masculin;12;TN-12;Gouvernorat de L'Ariana;29
