Régions,Sexe,Milieu,AgeRange,Population,,
Gouvernorat de Sfax,Masculin,Communal,20-29 ans,50770,,
Gouvernorat de Sfax,Masculin,Rural,5-9  ans,15542,,
Gouvernorat de Sfax,Masculin,Rural,10-14 ans,13895,,
Gouvernorat de Sfax,Masculin,Rural,15-19 ans,14472,,
Gouvernorat de Sfax,Masculin,Rural,20-29 ans,32074,,
Gouvernorat de Sfax,Féminin,Communal,5-9  ans,21730,,
Gouvernorat de Sfax,Féminin,Communal,10-14 ans,20064,,
Gouvernorat de Sfax,Féminin,Communal,15-19 ans,21550,,
Gouvernorat de Sfax,Féminin,Communal,20-29 ans,51371,,
Gouvernorat de Sfax,Féminin,Rural,5-9  ans,14273,,
Gouvernorat de Sfax,Féminin,Rural,10-14 ans,12919,,
Gouvernorat de Sfax,Féminin,Rural,15-19 ans,13790,,
Gouvernorat de Sfax,Féminin,Rural,20-29 ans,32131,,
Gouvernorat de Kairouan,Masculin,Communal,5-9  ans,8800,,
Gouvernorat de Kairouan,Masculin,Communal,10-14 ans,8037,,
Gouvernorat de Kairouan,Masculin,Communal,15-19 ans,8509,,
Gouvernorat de Kairouan,Masculin,Communal,20-29 ans,15803,,
Gouvernorat de Kairouan,Masculin,Rural,5-9  ans,17534,,
Gouvernorat de Kairouan,Masculin,Rural,10-14 ans,16209,,
Gouvernorat de Kairouan,Masculin,Rural,15-19 ans,16576,,
Gouvernorat de Kairouan,Masculin,Rural,20-29 ans,28289,,
Gouvernorat de Kairouan,Féminin,Communal,5-9  ans,8280,,
Gouvernorat de Kairouan,Féminin,Communal,10-14 ans,7632,,
Gouvernorat de Kairouan,Féminin,Communal,15-19 ans,8296,,
Gouvernorat de Kairouan,Féminin,Communal,20-29 ans,17346,,
Gouvernorat de Kairouan,Féminin,Rural,5-9  ans,16041,,
Gouvernorat de Kairouan,Féminin,Rural,10-14 ans,14882,,
Gouvernorat de Kairouan,Féminin,Rural,15-19 ans,16291,,
Gouvernorat de Kairouan,Féminin,Rural,20-29 ans,30611,,
Gouvernorat de Kasserine,Masculin,Communal,5-9  ans,8013,,
Gouvernorat de Kasserine,Masculin,Communal,10-14 ans,7813,,
Gouvernorat de Kasserine,Masculin,Communal,15-19 ans,8315,,
Gouvernorat de Kasserine,Masculin,Communal,20-29 ans,16597,,
Gouvernorat de Kasserine,Masculin,Rural,5-9  ans,11755,,
Gouvernorat de Kasserine,Masculin,Rural,10-14 ans,11540,,
Gouvernorat de Kasserine,Masculin,Rural,15-19 ans,12150,,
Gouvernorat de Kasserine,Masculin,Rural,20-29 ans,22434,,
Gouvernorat de Kasserine,Féminin,Communal,5-9  ans,7769,,
Gouvernorat de Kasserine,Féminin,Communal,10-14 ans,7595,,
Gouvernorat de Kasserine,Féminin,Communal,15-19 ans,8144,,
Gouvernorat de Kasserine,Féminin,Communal,20-29 ans,17691,,
Gouvernorat de Kasserine,Féminin,Rural,5-9  ans,10695,,
Gouvernorat de Kasserine,Féminin,Rural,10-14 ans,10819,,
Gouvernorat de Kasserine,Féminin,Rural,15-19 ans,12063,,
Gouvernorat de Kasserine,Féminin,Rural,20-29 ans,22947,,
Gouvernorat de Sidi Bouzid,Masculin,Communal,5-9  ans,5165,,
Gouvernorat de Sidi Bouzid,Masculin,Communal,10-14 ans,4717,,
Gouvernorat de Sidi Bouzid,Masculin,Communal,15-19 ans,4982,,
Gouvernorat de Sidi Bouzid,Masculin,Communal,20-29 ans,9714,,
Gouvernorat de Sidi Bouzid,Masculin,Rural,5-9  ans,13135,,
Gouvernorat de Sidi Bouzid,Masculin,Rural,10-14 ans,12566,,
Gouvernorat de Sidi Bouzid,Masculin,Rural,15-19 ans,13548,,
Gouvernorat de Sidi Bouzid,Masculin,Rural,20-29 ans,29682,,
Gouvernorat de Sidi Bouzid,Féminin,Communal,5-9  ans,4806,,
Gouvernorat de Sidi Bouzid,Féminin,Communal,10-14 ans,4341,,
Gouvernorat de Sidi Bouzid,Féminin,Communal,15-19 ans,4737,,
Gouvernorat de Sidi Bouzid,Féminin,Communal,20-29 ans,10541,,
Gouvernorat de Sidi Bouzid,Féminin,Rural,5-9  ans,11864,,
Gouvernorat de Sidi Bouzid,Féminin,Rural,10-14 ans,11548,,
Gouvernorat de Sidi Bouzid,Féminin,Rural,15-19 ans,13119,,
Gouvernorat de Sidi Bouzid,Féminin,Rural,20-29 ans,29348,,
Gouvernorat de Gabès,Masculin,Communal,5-9  ans,10821,,
Gouvernorat de Gabès,Masculin,Communal,10-14 ans,9739,,
Gouvernorat de Gabès,Masculin,Communal,15-19 ans,10306,,
Gouvernorat de Gabès,Masculin,Communal,20-29 ans,23048,,
Gouvernorat de Gabès,Masculin,Rural,5-9  ans,4484,,
Gouvernorat de Gabès,Masculin,Rural,10-14 ans,4038,,
Gouvernorat de Gabès,Masculin,Rural,15-19 ans,4817,,
Gouvernorat de Gabès,Masculin,Rural,20-29 ans,9198,,
Gouvernorat de Gabès,Féminin,Communal,5-9  ans,10178,,
Gouvernorat de Gabès,Féminin,Communal,10-14 ans,8991,,
Gouvernorat de Gabès,Féminin,Communal,15-19 ans,9958,,
Gouvernorat de Gabès,Féminin,Communal,20-29 ans,24517,,
Gouvernorat de Gabès,Féminin,Rural,5-9  ans,4201,,
Gouvernorat de Gabès,Féminin,Rural,10-14 ans,3881,,
Gouvernorat de Gabès,Féminin,Rural,15-19 ans,4836,,
Gouvernorat de Gabès,Féminin,Rural,20-29 ans,11243,,
Gouvernorat de Medenine,Masculin,Communal,5-9  ans,16011,,
Gouvernorat de Medenine,Masculin,Communal,10-14 ans,14221,,
Gouvernorat de Medenine,Masculin,Communal,15-19 ans,14982,,
Gouvernorat de Medenine,Masculin,Communal,20-29 ans,30000,,
Gouvernorat de Medenine,Masculin,Rural,5-9  ans,4166,,
Gouvernorat de Medenine,Masculin,Rural,10-14 ans,3945,,
