Régions,Milieu,Sexe,AgeRange,PopulationScolore,,
Gouvernorat de Tataouine,Non communal,Masculin,10-14,2112,,
Gouvernorat de Tataouine,Non communal,Féminin,6-9,1541,,
Gouvernorat de Tataouine,Non communal,Féminin,10-14,1994,,
Gouvernorat de Gafsa,Communal,Masculin,6-9,7381,,
Gouvernorat de Gafsa,Communal,Masculin,10-14,9036,,
Gouvernorat de Gafsa,Communal,Féminin,6-9,7020,,
Gouvernorat de Gafsa,Communal,Féminin,10-14,8599,,
Gouvernorat de Gafsa,Non communal,Masculin,6-9,2753,,
Gouvernorat de Gafsa,Non communal,Masculin,10-14,3059,,
Gouvernorat de Gafsa,Non communal,Féminin,6-9,2590,,
Gouvernorat de Gafsa,Non communal,Féminin,10-14,2859,,
Gouvernorat de Tozeur,Communal,Masculin,6-9,2566,,
Gouvernorat de Tozeur,Communal,Masculin,10-14,2734,,
Gouvernorat de Tozeur,Communal,Féminin,6-9,2370,,
Gouvernorat de Tozeur,Communal,Féminin,10-14,2735,,
Gouvernorat de Tozeur,Non communal,Masculin,6-9,1015,,
Gouvernorat de Tozeur,Non communal,Masculin,10-14,1175,,
Gouvernorat de Tozeur,Non communal,Féminin,6-9,1073,,
Gouvernorat de Tozeur,Non communal,Féminin,10-14,1162,,
Gouvernorat de Kébili,Communal,Masculin,6-9,2702,,
Gouvernorat de Kébili,Communal,Masculin,10-14,2855,,
Gouvernorat de Kébili,Communal,Féminin,6-9,2525,,
Gouvernorat de Kébili,Communal,Féminin,10-14,2711,,
Gouvernorat de Kébili,Non communal,Masculin,6-9,2124,,
Gouvernorat de Kébili,Non communal,Masculin,10-14,2265,,
Gouvernorat de Kébili,Non communal,Féminin,6-9,2073,,
Gouvernorat de Kébili,Non communal,Féminin,10-14,2434,,
